tech_id,process_type,description,unit_operation,main_sector,main_category,category_spec,tech_type,year,reference_unit_size,reference_unit_size_unit,location,currency,trl,tech_maturity,efficiency,efficiency_unit,carriers_in,main_input,ratios_in,units_in,carriers_out,main_out,ratios_out,units_out,capex,capex_unit,opex,opex_unit,lifetime,lifetime_unit,ref_year,summary,model
MTA_2035,Conversion,"Methanol-to-aromatics synthesis converts renewable methanol into a mixed aromatics product stream. The upstream methanol route is based on electricity, water electrolysis, and CO2 air capture.",Methanol-to-aromatics synthesis,Chemicals,Aromatics Production,Renewable methanol route,Methanol-to-aromatics synthesis,2035,97.2,ktaromatics/y,"Iceland, The Netherlands, Spain, Chile; Basel, Switzerland final destination",EUR,,near-term efficiencies expected at commercial scale,,,"methanol, CO2, H2, LT DAC electricity, LT DAC heat",methanol,"360, 0.48, 2.53","not specified, ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2",aromatics mix,aromatics mix,97.2,ktaromatics/y,16.4,M€,21.5,€/kgsorbent,25,years,2024,Near-future MTA produces 97.2 ktaromatics/y from renewable methanol with a 360 ktCO2/y upstream carbon input basis. Baseline CAPEX is 16.4 M€ with a 25-year lifetime and 8000 h/y operation; LT DAC sorbent cost is 21.5 €/kgsorbent.,gpt-5.5
MTA_2050,Conversion,Methanol-to-aromatics synthesis converts CO2-derived methanol into a mixed aromatics product stream. The post-2035 process chain uses electrolysis-based hydrogen and LT DAC carbon supply.,Methanol-to-aromatics synthesis,Chemicals,Aromatics Production,CO2-derived methanol route,Methanol-to-aromatics synthesis,2050,97.2,ktaromatics/y,"Chile, Spain, Iceland, The Netherlands",EUR,,well-established technologies after 2035,,,"methanol, CO2, H2, LT DAC electricity, LT DAC heat, LT DAC sorbent",methanol,"360, 0.38, 1.5, 3","not specified, ktCO2/y, not specified, MWhel/tCO2, MWhth/tCO2, kg/tCO2",aromatics mix,aromatics mix,97.2,ktaromatics/y,16.4,M€,7.4,€/kgsorbent,25,years,2024,"Long-term MTA produces 97.2 ktaromatics/y from CO2-derived methanol using a 360 ktCO2/y input basis. Baseline CAPEX is 16.4 M€, LT DAC sorbent cost is 7.4 €/kgsorbent, and reported MSP is 1360–2050 €/t.",gpt-5.5
GEO_2035,Conversion,Geothermal energy supplies electricity and low-temperature heat in Iceland. The source is colocated at Climeworks' DAC plant in Hellisheidi and provides LT heat below 100 °C.,Geothermal energy extraction,Electricity,Geothermal Energy,Electricity and low-temperature heat,Geothermal energy,2035,,,Iceland; Hellisheidi,EUR,,used as current/near-future energy source in Iceland,,,geothermal resource,geothermal resource,,not specified,"electricity, low-temperature heat",electricity,100,"not specified, °C",,,25.6,€/MWhel,,,2024,Near-future geothermal energy in Iceland supplies electricity costed at 25.6 €/MWhel and low-temperature heat below 100 °C. It supports 8000 h/y plant operation and has reported emissions of 17.0 kgCO2eq/MWhel.,gpt-5.5
GEO_2050,Conversion,Geothermal energy supplies renewable electricity and low-temperature heat in Iceland. The long-term scenario reflects future GHG reduction potential.,Geothermal energy extraction,Electricity,Geothermal Energy,Electricity and low-temperature heat,Geothermal energy,2050,,,Iceland,,,established renewable energy supply,,,geothermal resource,geothermal resource,,not specified,"electricity, low-temperature heat",electricity,,"not specified, not specified",,,,,,,2024,Long-term geothermal energy is treated as an established renewable energy supply supporting 8000 h/y operation. Reported baseline emissions are 13.9 kgCO2eq/MWhel with a 2050 reduction potential of 63%.,gpt-5.5
OW_2035,Conversion,Offshore wind farms near the port of Rotterdam generate renewable electricity. Low-temperature heat in the associated supply chain is provided by industrial residual heat.,Wind power generation,Electricity,Wind Energy,Offshore,Offshore wind energy,2035,,,The Netherlands; near port of Rotterdam,EUR,,available renewable electricity source,,,wind resource,wind resource,,not specified,electricity,electricity,,not specified,,,63.9,€/MWhel,,,2024,Near-future offshore wind electricity in The Netherlands is costed at 63.9 €/MWhel and supports 8000 h/y operation. Reported emissions are 12.6 kgCO2eq/MWhel.,gpt-5.5
OW_2050,Conversion,Offshore wind supplies renewable electricity for long-term product synthesis scenarios. The technology is treated as an established renewable electricity source.,Wind power generation,Electricity,Wind Energy,Offshore,Offshore wind energy,2050,,,The Netherlands,EUR,,established renewable electricity source,,,wind resource,wind resource,,not specified,electricity,electricity,,not specified,,,40.0,€/MWhel,,,2024,Long-term offshore wind electricity in The Netherlands is costed at 40.0 €/MWhel. Reported baseline emissions are 11.3 kgCO2eq/MWhel with a 2050 reduction potential of 9%.,gpt-5.5
PV_2035,Conversion,"Photovoltaics supply renewable electricity in Spain and Chile. The modeled sites include Tabernas and Sierra Gorda, selected for high direct normal irradiance.",Photovoltaic power generation,Electricity,Solar Energy,Photovoltaic,Photovoltaics,2035,,,Spain; Chile; Tabernas; Sierra Gorda,EUR,,available renewable electricity source,,,solar resource,solar resource,,not specified,PV electricity,PV electricity,,not specified,,,34.7,€/MWhel Spain baseline; 26.4 €/MWhel Chile baseline,,,2024,Near-future PV electricity costs are 34.7 €/MWhel in Spain and 26.4 €/MWhel in Chile. PV supports modeled supply chains operating at 8000 h/y and has reported emissions of 66.0 kgCO2eq/MWhel.,gpt-5.5
PV_2050,Conversion,Photovoltaics supply renewable electricity in Spain and Chile for long-term product synthesis scenarios. The technology is treated as an established renewable electricity source.,Photovoltaic power generation,Electricity,Solar Energy,Photovoltaic,Photovoltaics,2050,,,Spain; Chile,EUR,,established renewable electricity source,,,solar resource,solar resource,,not specified,PV electricity,PV electricity,,not specified,,,18.1,€/MWhel Spain baseline; 13.7 €/MWhel Chile baseline,,,2024,Long-term PV electricity costs are 18.1 €/MWhel in Spain and 13.7 €/MWhel in Chile. Reported baseline emissions are 57.2 kgCO2eq/MWhel with a 2050 reduction potential of 41%.,gpt-5.5
PVBESS_2035,Storage,Large-scale photovoltaics with battery energy storage supply dispatchable renewable electricity. Storage is sized to provide full-load operational hours of 8000 h/y.,Photovoltaic power generation with battery storage,Electricity,Solar Energy Storage,Photovoltaics with battery energy storage,Photovoltaics with battery energy storage,2035,8000,full-load hours/y,Spain/Chile solar electricity context,EUR,,modeled large-scale PV-BESS option,,,"solar resource, battery storage",solar resource,,"not specified, not specified",dispatchable PV-BESS electricity,dispatchable PV-BESS electricity,,not specified,,,68.2,€/MWhel,,,2024,Near-future PV-BESS electricity is costed at 68.2 €/MWhel and modeled for Spain/Chile solar electricity contexts. Reported emissions are 124.3 kgCO2eq/MWhel.,gpt-5.5
PVBESS_2050,Storage,Standalone photovoltaics with battery energy storage supply dispatchable renewable electricity. The system is sized for 8000 full-load hours per year.,Photovoltaic power generation with battery storage,Electricity,Solar Energy Storage,Photovoltaics with battery energy storage,Photovoltaics with battery energy storage,2050,8000,full-load hours/y,"Chile sensitivity case for long-term FT fuels via RWGS, AEC, LT DAC",EUR,,modeled long-term standalone renewable electricity with storage,,,"solar resource, battery storage",solar resource,,"not specified, not specified",dispatchable PV-BESS electricity,dispatchable PV-BESS electricity,,not specified,,,45.2,€/MWhel,,,2024,"Long-term PV-BESS electricity is costed at 45.2 €/MWhel in a Chile sensitivity case. For long-term FT fuels via RWGS, AEC, and LT DAC, PV-BESS increases MSP by 57.9% to 1830 €/t versus PV without storage.",gpt-5.5
CSP_TES_2035,Conversion,Concentrated solar power with thermal energy storage generates renewable electricity from high direct normal irradiance and stores thermal energy for dispatchable operation. The standalone system is sized for 8000 full-load operational hours per year.,Solar thermal electricity generation,Electricity,Concentrated Solar Power,Thermal energy storage,Concentrated solar power with thermal energy storage,2035,,,Spain; Chile,EUR,,,,,solar direct normal irradiance,solar direct normal irradiance,,,electricity,electricity,1,MWhel,,,82.1,€/MWhel,25,years,2024,Near-future CSP-TES in Spain and Chile is used as a renewable electricity supply option with TES sized for 8000 h/y. Cost is reported as 82.1 €/MWhel baseline with a range of 79.0-88.0 €/MWhel; lifetime is 25 years and baseline climate impact is 16.0 kgCO2eq/MWhel.,gpt-5.5
CSP_TES_2050,Conversion,Concentrated solar power with thermal energy storage generates renewable electricity from solar direct normal irradiance with dispatchable output from thermal storage. The standalone system is sized for 8000 full-load operational hours.,Solar thermal electricity generation,Electricity,Concentrated Solar Power,Thermal energy storage,Concentrated solar power with thermal energy storage,2050,,,Spain; Chile,EUR,,,,,solar direct normal irradiance,solar direct normal irradiance,,,electricity,electricity,1,MWhel,,,63.1,€/MWhel,25,years,2024,Long-term CSP-TES is described for Spain and Chile as a renewable electricity supply option with TES. Cost is reported as 63.1 €/MWhel baseline with a range of 47.0-88.0 €/MWhel; lifetime is 25 years.,gpt-5.5
NGB_2035,Conversion,Natural gas boilers combust natural gas to provide high-temperature heat above 100 °C. They are also assumed to provide high-temperature steam for SOEC applications.,Combustion,Heat,Boilers,Natural gas,Natural gas boilers,2035,,,Europe,EUR,,,0.9,% methane boiler efficiency,natural gas,natural gas,,,"high-temperature heat, high-temperature steam",high-temperature heat,1,"MWhth, null",,,25.0,€/MWhth,25,years,2024,Near-future natural gas boilers supply high-temperature heat or steam with 90% methane boiler efficiency. Cost is reported as 25.0 €/MWhth baseline with a range of 15.0-40.0 €/MWhth; lifetime is 25 years and baseline climate impact is 232.5 kgCO2eq/MWhth.,gpt-5.5
NGB_2050,Conversion,Natural gas boilers are used as an external heat source where SOEC high-temperature steam is supplied from natural gas. The source notes higher life-cycle GHG emissions for SOEC hydrogen production when natural gas heat is used.,Combustion,Heat,Boilers,Natural gas,Natural gas boilers,2050,,,,,,,0.9,% methane boiler efficiency,natural gas,natural gas,,,"high-temperature heat, high-temperature steam",high-temperature steam,,,,,,,25,years,2024,"Long-term natural gas boiler use is described for SOEC high-temperature steam supply with 90% methane boiler efficiency. No CAPEX, OPEX, specific location, or long-term boiler emissions value is specified; lifetime is 25 years.",gpt-5.5
WH_2035,Conversion,"Waste heat is a low-temperature heat source from industrial residual heat or industrial processes. It is used as low-temperature heat supply, including for low-temperature solid sorbent DAC where applicable.",Heat recovery,Heat,Waste Heat,Low-temperature industrial residual heat,Waste heat,2035,,,The Netherlands; Spain; Chile,EUR,,,,,"industrial residual heat, waste heat",waste heat,"1, 1","MWhth, MWhth",low-temperature heat,low-temperature heat,1,MWhth,,,7.5,€/MWhth,25,years,2024,Near-future waste heat supplies low-temperature heat from industrial residual heat or industrial processes. Cost is reported as 7.5 €/MWhth baseline with a range of 5.0-10.0 €/MWhth; lifetime is 25 years.,gpt-5.5
WH_2050,Conversion,Waste heat remains a low-temperature heat supply option where industrial residual heat or industrial processes are available. It can provide heat for applications such as low-temperature DAC.,Heat recovery,Heat,Waste Heat,Low-temperature industrial residual heat,Waste heat,2050,,,The Netherlands; Spain; Chile,,,,,,"industrial residual heat, waste heat",waste heat,,,low-temperature heat,low-temperature heat,,,,,,,25,years,2024,"Long-term waste heat is described as an available low-temperature heat option in the Netherlands, Spain, and Chile. No CAPEX, OPEX, efficiency, or emissions value is specified; lifetime is 25 years.",gpt-5.5
